title,url,difficulty,step,lecture,patterns
Combination Sum - III,https://leetcode.com/problems/combination-sum-iii/,Hard,7,,Subsequence Generation
Letter Combinations of a Phone number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,7,,Subsequence Generation
Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,7,,Backtracking
Word Search,https://leetcode.com/problems/word-search/,Medium,7,,Backtracking
N Queen,https://leetcode.com/problems/n-queens/,Hard,7,,Backtracking
Rat in a Maze,,Hard,7,,Backtracking
Word Break,https://leetcode.com/problems/word-break/,Medium,7,,Backtracking
M Coloring Problem,,Hard,7,,Backtracking
Sudoko Solver,https://leetcode.com/problems/sudoku-solver/,Hard,7,,Backtracking
Expression Add Operators,,Hard,7,,Backtracking
Introduction to Bit Manipulation [Theory],,Easy,8,,Bit Manipulation
Check if the i-th bit is set or not,,Easy,8,,Bit Manipulation
Check if a number is odd or not,,Easy,8,,Bit Manipulation
Check if a number is power of 2 or not,,Easy,8,,Bit Manipulation
Count the number of set bits,,Easy,8,,Bit Manipulation
Set/Unset the rightmost unset bit,,Easy,8,,Bit Manipulation
Swap two numbers,,Easy,8,,Bit Manipulation
"Divide two integers w/o using multiplication, division and mod",,Medium,8,,Bit Manipulation
Count number of bits to be flipped to convert A to B,,Medium,8,,Bit Manipulation
Find the number that appears odd number of times,,Easy,8,,Bit Manipulation
Power Set,https://leetcode.com/problems/subsets/,Medium,8,,Bit Manipulation
Find xor of numbers from L to R,,Easy,8,,Bit Manipulation
Find the two numbers appearing odd number of times,,Easy,8,,Bit Manipulation
Print Prime Factors of a Number,,Easy,8,,Bit Manipulation;Number Theory
All Divisors of a Number,,Easy,8,,Bit Manipulation
Sieve of Eratosthenes,,Medium,8,,Bit Manipulation;Number Theory
Find Prime Factorisation of a Number using Sieve,,Medium,8,,Bit Manipulation;Number Theory
"Power(n, x)",,Medium,8,,Bit Manipulation
Implement Stack using Arrays,,Easy,9,,Stack
Implement Queue using Arrays,,Easy,9,,Queue
Implement Stack using Queue,,Medium,9,,Stack
Implement Queue using Stack,,Medium,9,,Stack
Implement stack using Linkedlist,,Easy,9,,Stack
Implement queue using Linkedlist,,Medium,9,,Queue
Check for balanced paranthesis,https://leetcode.com/problems/valid-parentheses/,Medium,9,,Stack
Implement Min Stack,https://leetcode.com/problems/min-stack/,Medium,9,,Stack
Infix to Postfix Conversion using Stack,,Medium,9,,Stack
Prefix to Infix Conversion,,Medium,9,,Stack
Prefix to Postfix Conversion,,Medium,9,,Stack
Postfix to Prefix Conversion,,Medium,9,,Stack
Postfix to Infix,,Medium,9,,Stack
Convert Infix To Prefix Notation,,Medium,9,,Stack
Next Greater Element,https://leetcode.com/problems/next-greater-element-i/,Easy,9,,Monotonic Stack
Next Greater Element 2,https://leetcode.com/problems/next-greater-element-ii/,Medium,9,,Monotonic Stack
Next Smaller Element,,Easy,9,,Monotonic Stack
Number of NGEs to the right,,Easy,9,,Monotonic Stack
Trapping Rainwater,https://leetcode.com/problems/trapping-rain-water/,Hard,9,,Monotonic Stack
Sum of subarray minimum,https://leetcode.com/problems/sum-of-subarray-minimums/,Medium,9,,Monotonic Stack
Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,Medium,9,,Monotonic Stack
Sum of subarray ranges,https://leetcode.com/problems/sum-of-subarray-ranges/,Medium,9,,Monotonic Stack
Remove k Digits,https://leetcode.com/problems/remove-k-digits/,Medium,9,,Monotonic Stack
Largest rectangle in a histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Medium,9,,Monotonic Stack
Maximal Rectangles,https://leetcode.com/problems/maximal-rectangle/,Hard,9,,Monotonic Stack
Sliding Window maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,9,,Monotonic Stack;Sliding Window
Stock span problem,,Medium,9,,Monotonic Stack
The Celebrity Problem,,Hard,9,,Stack
LRU cache (IMPORTANT),https://leetcode.com/problems/lru-cache/,Hard,9,,Hashing;Linked List
LFU cache,https://leetcode.com/problems/lfu-cache/,Hard,9,,Hashing;Linked List
Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,10,,Sliding Window
Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii/,Medium,10,,Sliding Window
Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets/,Medium,10,,Sliding Window
longest repeating character replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,10,,Sliding Window
Binary subarray with sum,https://leetcode.com/problems/binary-subarrays-with-sum/,Easy,10,,Sliding Window
Count number of nice subarrays,https://leetcode.com/problems/count-number-of-nice-subarrays/,Medium,10,,Sliding Window
Number of substring containing all three characters,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/,Medium,10,,Sliding Window
Maximum point you can obtain from cards,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,Medium,10,,Sliding Window
